,"Lack of Objective Meaning, Value, Purpose","Anxiety, Boredom, Nothingness",Skepticism of Knowledge,Dual Nature: Biology + Yearning for Transcendent,Renunciation/Asceticism & Contemplation,Challenges on Spiritual Path,Recollection > Physical Penances,Avoiding Sensible Pleasures,Distractions; Purification through Nothingness,Mystical/Religious/Psychedelic/Nihilistic Experiences,Terror & Beauty of Union with INFINITE PRESENCE,"Humility, Letting Go, Surrender",Ego Dissolution; Illusory-Self; Oneness/True-Self,Conceptualizations of God,Divine Presence/Absence & Suffering,Limitations of Language,Role of Language and Silence,Internal Recollection — Intuitive Infinite Within,Inner Turmoil & Philosophical Insight,Misconceptions: Symbolism vs. Literalism,Symbolic Approach to Practice,Nothingness as Temporal Expression of the Transcendent
A. W. Tozer,0,0,0,0,1,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0
Albert Camus,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0
Aldous Huxley,6,6,0,0,13,4,2,0,2,21,0,2,0,2,2,0,0,1,0,0,0,0
Angela of Foligno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augustine,0,1,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Bertrand Russell,1,1,2,0,5,0,0,0,0,14,0,2,0,0,0,0,0,0,4,0,0,0
Buddhism,0,6,6,0,3,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0
C. S. Lewis,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ecclesiastes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgar Saltus,0,10,2,0,6,0,1,0,2,2,0,0,0,1,0,0,0,0,2,0,0,0
Emile Cioran,8,121,20,1,29,4,1,0,15,26,0,2,0,0,3,3,0,0,34,2,0,2
Ernest Becker,11,38,7,0,4,0,0,0,2,12,0,4,0,2,1,0,0,0,8,0,0,0
Evelyn Underhill,2,16,4,0,47,6,9,0,17,101,0,20,0,7,2,5,0,0,6,0,0,2
Fr. Seraphim Rose,8,29,4,0,1,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,3
GK Chesterton,0,6,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0
Herman Tønnessen,0,9,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0
Hinduism,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huston Smith,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0
Jesus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesus Christ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Bunyan,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
John of the Cross,0,5,1,1,10,3,0,0,8,4,0,3,0,0,0,0,0,0,0,0,0,0
John Shelby Spong,2,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Kierkegaard,1,19,6,1,6,2,0,0,8,0,0,3,1,0,4,0,0,0,58,0,0,0
Lev Shestov,6,44,15,0,3,2,0,0,0,6,0,4,0,2,1,0,0,0,17,0,0,2
Martin Heidegger,0,25,2,1,3,0,0,0,3,6,0,0,3,1,0,0,0,0,0,0,0,0
Martin Luther,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meister Eckhart,0,8,0,2,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0
Miguel de Molinos,0,9,0,2,3,6,12,4,0,9,0,16,0,4,2,0,0,10,9,0,0,5
Miguel de Unamuno,8,22,7,0,2,0,0,0,2,11,0,1,0,1,1,0,0,0,14,0,0,1
Mitchell Heisman,15,38,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0
Montaigne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Nietzsche,4,20,9,0,8,2,0,0,0,3,0,1,0,4,2,0,0,0,3,0,0,1
Pascal,0,18,5,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,7,0,0,0
Paul Tillich,16,21,34,0,9,0,0,0,0,18,0,6,0,2,0,2,0,0,18,2,0,0
Peter Wessel Zapffe,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
